KXNPVXPOPUZYGB-MXSMSXNCSA b1
KXNPVXPOPUZYGB-FZCLSBEQSA b2
KXNPVXPOPUZYGB-LAQRGFTBSA b3
ZCYRWCFYQPFHSM-BHYGNILZSA b4
KHNKFMYMQCWAQB-WMZOPIPTSA b5
KDNDVBMJUDSBGG-RDJZCZTQSA b6
KXNPVXPOPUZYGB-UOVPBQLFSA b7
QVDZMCVSIVITGR-UHFFFAOYSA BZT
KEDLOQLGBOISAT-UHFFFAOYSA BT3
LZDAMDNKPMSAPV-UHFFFAOYSA BT2
ZDOUXHNKEWMVDZ-UHFFFAOYSA BT1
YMFPDXJBQSYZIB-UHFFFAOYSA BEN
HSBRFDADFCMARY-MXSMSXNCSA MIT
HYWDZFAWROIDBY-XMMPIXPASA MID
VSQYRNMUORBFHS-AJYBTWMASA C04221783
RNQGIIPLQFNEAM-JEPPUSMKSA C04237042
QAWWUDBCOTUREF-FQEVSTJZSA C06134461
VLJRYRHTGAATRA-NRFANRHFSA C06077463
OVRUUOWCNOVRKO-JOCHJYFZSA C06822200
SADXBOISBBVROJ-JOCHJYFZSA C06860675
BABWTMFIEKUXMY-SFHVURJKSA C06905101
ALJORNYWGHYQOD-NRFANRHFSA C12467348
ZOYUZDWGEJUDLA-KRWDZBQOSA C12467587
CFPDNKWQBIPRRD-PGRDOPGGSA C12473203
PFEYKUIBCNWITE-AVRDEDQJSA C12473977
LGFHNBIFXFXLFJ-AVRDEDQJSA C12473953
ZSRPNCBMXLBNAQ-HXUWFJFHSA C12479497
TXMKWLVLYCFZAG-DNVCBOLYSA C12716025

